discard_id,keep_id,fixture_id,set_nr,winner_registration,loser_registration,registration1_score,registration2_score,created_at
4,5,1289,NULL,,,,,"2021-12-03 13:57:32"
16,17,1290,NULL,,,,,"2021-12-03 14:13:27"
26,27,1291,NULL,,,,,"2021-12-03 14:26:50"
14,15,1292,NULL,,,,,"2021-12-03 14:12:27"
53,54,1293,NULL,,,,,"2021-12-03 14:44:49"
20,21,1294,NULL,,,,,"2021-12-03 14:16:01"
24,25,1295,NULL,,,,,"2021-12-03 14:23:27"
22,23,1296,NULL,,,,,"2021-12-03 14:16:24"
113,114,1297,NULL,,,,,"2021-12-03 15:18:41"
128,129,1298,NULL,,,,,"2021-12-03 15:29:53"
109,110,1299,NULL,,,,,"2021-12-03 15:15:49"
115,116,1300,NULL,,,,,"2021-12-03 15:18:57"
117,119,1301,NULL,,,,,"2021-12-03 15:19:20"
118,119,1301,NULL,,,,,"2021-12-03 15:19:20"
111,112,1302,NULL,,,,,"2021-12-03 15:16:27"
160,161,1303,NULL,,,,,"2021-12-03 16:06:52"
120,121,1304,NULL,,,,,"2021-12-03 15:19:36"
162,163,1305,NULL,,,,,"2021-12-03 16:07:25"
164,165,1306,NULL,,,,,"2021-12-03 16:07:40"
185,186,1307,NULL,,,,,"2021-12-03 16:32:04"
267,268,1308,NULL,,,,,"2021-12-03 17:34:06"
241,242,1309,NULL,,,,,"2021-12-03 17:13:56"
269,270,1310,NULL,,,,,"2021-12-03 17:34:30"
263,264,1311,NULL,,,,,"2021-12-03 17:33:31"
265,266,1312,NULL,,,,,"2021-12-03 17:33:45"
458,459,1315,NULL,,,,,"2021-12-04 09:30:51"
460,461,1316,NULL,,,,,"2021-12-04 09:31:31"
221,222,1321,NULL,,,,,"2021-12-03 16:51:56"
181,182,1322,NULL,,,,,"2021-12-03 16:24:08"
237,238,1323,NULL,,,,,"2021-12-03 17:05:55"
199,200,1324,NULL,,,,,"2021-12-03 16:39:44"
299,300,1325,NULL,,,,,"2021-12-03 17:55:03"
239,240,1326,NULL,,,,,"2021-12-03 17:12:37"
243,244,1327,NULL,,,,,"2021-12-03 17:16:31"
340,342,1328,NULL,,,,,"2021-12-03 18:22:35"
341,342,1328,NULL,,,,,"2021-12-03 18:22:35"
429,430,1329,NULL,,,,,"2021-12-04 09:21:52"
439,440,1330,NULL,,,,,"2021-12-04 09:25:03"
445,446,1332,NULL,,,,,"2021-12-04 09:26:24"
447,448,1334,NULL,,,,,"2021-12-04 09:27:05"
449,451,1335,NULL,,,,,"2021-12-04 09:28:37"
450,451,1335,NULL,,,,,"2021-12-04 09:28:37"
456,457,1336,NULL,,,,,"2021-12-04 09:29:44"
41,42,1381,NULL,,,,,"2021-12-03 14:38:31"
55,56,1382,NULL,,,,,"2021-12-03 14:49:55"
43,44,1383,NULL,,,,,"2021-12-03 14:38:44"
45,46,1384,NULL,,,,,"2021-12-03 14:39:02"
47,48,1385,NULL,,,,,"2021-12-03 14:39:19"
100,101,1386,NULL,,,,,"2021-12-03 15:10:50"
61,63,1387,NULL,,,,,"2021-12-03 14:51:37"
62,63,1387,NULL,,,,,"2021-12-03 14:51:37"
59,60,1388,NULL,,,,,"2021-12-03 14:51:18"
57,58,1389,NULL,,,,,"2021-12-03 14:50:55"
122,123,1390,NULL,,,,,"2021-12-03 15:26:14"
148,149,1391,NULL,,,,,"2021-12-03 15:45:07"
152,153,1392,NULL,,,,,"2021-12-03 15:57:14"
102,103,1393,NULL,,,,,"2021-12-03 15:11:38"
209,211,1394,NULL,,,,,"2021-12-03 16:44:34"
210,211,1394,NULL,,,,,"2021-12-03 16:44:34"
187,189,1395,NULL,,,,,"2021-12-03 16:34:05"
188,189,1395,NULL,,,,,"2021-12-03 16:34:05"
170,171,1396,NULL,,,,,"2021-12-03 16:12:37"
214,215,1397,NULL,,,,,"2021-12-03 16:47:14"
320,321,1398,NULL,,,,,"2021-12-03 18:10:34"
346,347,1399,NULL,,,,,"2021-12-03 18:27:05"
218,220,1400,NULL,,,,,"2021-12-03 16:51:00"
219,220,1400,NULL,,,,,"2021-12-03 16:51:00"
183,184,1401,NULL,,,,,"2021-12-03 16:27:54"
271,272,1402,NULL,,,,,"2021-12-03 17:43:02"
284,285,1403,NULL,,,,,"2021-12-03 17:47:38"
286,287,1404,NULL,,,,,"2021-12-03 17:49:32"
514,515,1405,NULL,,,,,"2021-12-04 10:12:18"
522,523,1406,NULL,,,,,"2021-12-04 10:19:55"
652,653,1407,NULL,,,,,"2021-12-04 10:46:55"
654,655,1408,NULL,,,,,"2021-12-04 10:47:38"
745,746,1409,NULL,,,,,"2021-12-04 12:06:15"
827,829,1410,NULL,,,,,"2021-12-04 13:03:43"
828,829,1410,NULL,,,,,"2021-12-04 13:03:43"
1097,1099,1411,NULL,,,,,"2021-12-04 16:16:35"
1098,1099,1411,NULL,,,,,"2021-12-04 16:16:35"
941,942,1412,NULL,,,,,"2021-12-04 15:03:29"
247,248,1413,NULL,,,,,"2021-12-03 17:18:15"
322,324,1414,NULL,,,,,"2021-12-03 18:11:50"
323,324,1414,NULL,,,,,"2021-12-03 18:11:50"
325,327,1415,NULL,,,,,"2021-12-03 18:12:41"
326,327,1415,NULL,,,,,"2021-12-03 18:12:41"
359,360,1416,NULL,,,,,"2021-12-03 19:03:54"
356,358,1417,NULL,,,,,"2021-12-03 19:03:09"
357,358,1417,NULL,,,,,"2021-12-03 19:03:09"
282,283,1418,NULL,,,,,"2021-12-03 17:47:11"
307,308,1419,NULL,,,,,"2021-12-03 18:05:13"
305,306,1420,NULL,,,,,"2021-12-03 18:04:52"
484,485,1421,NULL,,,,,"2021-12-04 09:46:00"
478,479,1422,NULL,,,,,"2021-12-04 09:45:27"
437,438,1423,NULL,,,,,"2021-12-04 09:24:50"
441,442,1424,NULL,,,,,"2021-12-04 09:25:07"
443,444,1425,NULL,,,,,"2021-12-04 09:25:24"
524,525,1426,NULL,,,,,"2021-12-04 10:21:15"
452,453,1427,NULL,,,,,"2021-12-04 09:29:10"
454,455,1428,NULL,,,,,"2021-12-04 09:29:27"
668,669,1429,NULL,,,,,"2021-12-04 11:02:34"
728,730,1430,NULL,,,,,"2021-12-04 11:58:04"
729,730,1430,NULL,,,,,"2021-12-04 11:58:04"
714,715,1431,NULL,,,,,"2021-12-04 11:39:31"
772,773,1432,NULL,,,,,"2021-12-04 12:29:32"
