id,category_event_id,registration_id,status,refund_status,payfast_id,pf_transaction_id,refund_gross,created_at,risk_note
5499,579,5432,active,,,,,,"no payment dependency — safe to soft-delete"
5501,579,5434,active,,,,,,"no payment dependency — safe to soft-delete"
5502,581,5435,active,,,,,,"no payment dependency — safe to soft-delete"
5504,580,5437,active,,,,,,"no payment dependency — safe to soft-delete"
5509,583,5442,active,,,,,,"no payment dependency — safe to soft-delete"
5511,579,5444,active,,,,,,"no payment dependency — safe to soft-delete"
5514,585,5447,active,,,,,,"no payment dependency — safe to soft-delete"
5520,581,5453,active,,,,,"2022-08-12 12:16:44","no payment dependency — safe to soft-delete"
5522,584,5455,active,,,,,,"no payment dependency — safe to soft-delete"
5523,582,5456,active,,,,,,"no payment dependency — safe to soft-delete"
5530,606,5463,active,,,,,,"no payment dependency — safe to soft-delete"
5531,584,5464,active,,,,,,"no payment dependency — safe to soft-delete"
5532,580,5465,active,,,,,,"no payment dependency — safe to soft-delete"
5533,582,5466,active,,,,,,"no payment dependency — safe to soft-delete"
5534,579,5467,active,,,,,,"no payment dependency — safe to soft-delete"
5536,583,5469,active,,,,,,"no payment dependency — safe to soft-delete"
5537,586,5470,active,,,,,,"no payment dependency — safe to soft-delete"
5539,579,5472,active,,,,,,"no payment dependency — safe to soft-delete"
5541,605,5474,active,,,,,,"no payment dependency — safe to soft-delete"
5546,586,5479,active,,,,,,"no payment dependency — safe to soft-delete"
5550,581,5483,active,,,,,,"no payment dependency — safe to soft-delete"
5553,583,5486,active,,,,,,"no payment dependency — safe to soft-delete"
5554,580,5487,active,,,,,,"no payment dependency — safe to soft-delete"
5558,584,5491,active,,,,,,"no payment dependency — safe to soft-delete"
5559,579,5492,active,,,,,,"no payment dependency — safe to soft-delete"
5560,583,5493,active,,,,,,"no payment dependency — safe to soft-delete"
5566,581,5499,active,,,,,,"no payment dependency — safe to soft-delete"
5570,583,5503,active,,,,,,"no payment dependency — safe to soft-delete"
5571,584,5504,active,,,,,,"no payment dependency — safe to soft-delete"
5575,581,5508,active,,,,,,"no payment dependency — safe to soft-delete"
5576,606,5509,active,,,,,,"no payment dependency — safe to soft-delete"
5580,582,5513,active,,,,,,"no payment dependency — safe to soft-delete"
5581,583,5514,active,,,,,,"no payment dependency — safe to soft-delete"
5593,581,5526,active,,,,,,"no payment dependency — safe to soft-delete"
5614,606,5547,active,,,,,,"no payment dependency — safe to soft-delete"
5619,582,5552,active,,,,,,"no payment dependency — safe to soft-delete"
5620,581,5553,active,,,,,,"no payment dependency — safe to soft-delete"
5621,582,5554,active,,,,,,"no payment dependency — safe to soft-delete"
5628,583,5561,active,,,,,,"no payment dependency — safe to soft-delete"
5640,580,5573,active,,,,,,"no payment dependency — safe to soft-delete"
5649,579,5582,active,,,,,,"no payment dependency — safe to soft-delete"
5650,579,5583,active,,,,,,"no payment dependency — safe to soft-delete"
5651,584,5584,active,,,,,,"no payment dependency — safe to soft-delete"
5654,579,5587,active,,,,,,"no payment dependency — safe to soft-delete"
5657,583,5590,active,,,,,,"no payment dependency — safe to soft-delete"
5667,580,5600,active,,,,,,"no payment dependency — safe to soft-delete"
5669,581,5602,active,,,,,,"no payment dependency — safe to soft-delete"
5672,579,5605,active,,,,,,"no payment dependency — safe to soft-delete"
5673,579,5606,active,,,,,,"no payment dependency — safe to soft-delete"
5682,586,5615,active,,,,,,"no payment dependency — safe to soft-delete"
5712,582,5645,active,,,,,,"no payment dependency — safe to soft-delete"
5726,585,5659,active,,,,,,"no payment dependency — safe to soft-delete"
5727,580,5660,active,,,,,,"no payment dependency — safe to soft-delete"
5730,579,5663,active,,,,,,"no payment dependency — safe to soft-delete"
5739,583,5672,active,,,,,,"no payment dependency — safe to soft-delete"
5743,586,5676,active,,,,,,"no payment dependency — safe to soft-delete"
5764,579,5697,active,,,,,,"no payment dependency — safe to soft-delete"
5765,584,5698,active,,,,,,"no payment dependency — safe to soft-delete"
5795,585,5728,active,,,,,,"no payment dependency — safe to soft-delete"
5799,585,5732,active,,,,,,"no payment dependency — safe to soft-delete"
5805,579,5738,active,,,,,,"no payment dependency — safe to soft-delete"
5809,583,5742,active,,,,,,"no payment dependency — safe to soft-delete"
5814,581,5747,active,,,,,,"no payment dependency — safe to soft-delete"
5823,580,5756,active,,,,,,"no payment dependency — safe to soft-delete"
5825,582,5758,active,,,,,,"no payment dependency — safe to soft-delete"
5833,579,5766,active,,,,,,"no payment dependency — safe to soft-delete"
5838,580,5771,active,,,,,,"no payment dependency — safe to soft-delete"
5842,579,5775,active,,,,,,"no payment dependency — safe to soft-delete"
5846,579,5779,active,,,,,"2022-08-30 21:51:20","no payment dependency — safe to soft-delete"
5849,579,5782,active,,,,,,"no payment dependency — safe to soft-delete"
5854,583,5787,active,,,,,,"no payment dependency — safe to soft-delete"
5855,580,5788,active,,,,,,"no payment dependency — safe to soft-delete"
5856,579,5789,active,,,,,,"no payment dependency — safe to soft-delete"
5858,580,5791,active,,,,,,"no payment dependency — safe to soft-delete"
5859,580,5792,active,,,,,,"no payment dependency — safe to soft-delete"
5860,584,5793,active,,,,,,"no payment dependency — safe to soft-delete"
5868,580,5801,active,,,,,,"no payment dependency — safe to soft-delete"
5873,579,5806,active,,,,,,"no payment dependency — safe to soft-delete"
5874,579,5807,active,,,,,,"no payment dependency — safe to soft-delete"
5883,605,5816,active,,,,,,"no payment dependency — safe to soft-delete"
5885,605,5818,active,,,,,,"no payment dependency — safe to soft-delete"
5904,579,5837,active,,,,,,"no payment dependency — safe to soft-delete"
5909,584,5842,active,,,,,,"no payment dependency — safe to soft-delete"
5910,580,5843,active,,,,,,"no payment dependency — safe to soft-delete"
5912,580,5845,active,,,,,,"no payment dependency — safe to soft-delete"
5913,584,5846,active,,,,,,"no payment dependency — safe to soft-delete"
5915,582,5848,active,,,,,,"no payment dependency — safe to soft-delete"
5916,582,5849,active,,,,,,"no payment dependency — safe to soft-delete"
5919,579,5852,active,,,,,,"no payment dependency — safe to soft-delete"
5920,584,5853,active,,,,,,"no payment dependency — safe to soft-delete"
5921,586,5854,active,,,,,,"no payment dependency — safe to soft-delete"
5922,586,5855,active,,,,,,"no payment dependency — safe to soft-delete"
5928,584,5861,active,,,,,,"no payment dependency — safe to soft-delete"
5930,580,5863,active,,,,,,"no payment dependency — safe to soft-delete"
5932,585,5865,active,,,,,,"no payment dependency — safe to soft-delete"
5936,581,5869,active,,,,,,"no payment dependency — safe to soft-delete"
5939,585,5872,active,,,,,,"no payment dependency — safe to soft-delete"
5940,585,5873,active,,,,,,"no payment dependency — safe to soft-delete"
5941,579,5874,active,,,,,,"no payment dependency — safe to soft-delete"
5942,606,5875,active,,,,,,"no payment dependency — safe to soft-delete"
5943,606,5876,active,,,,,,"no payment dependency — safe to soft-delete"
5944,582,5877,active,,,,,,"no payment dependency — safe to soft-delete"
5945,584,5878,active,,,,,,"no payment dependency — safe to soft-delete"
5946,605,5879,active,,,,,,"no payment dependency — safe to soft-delete"
5947,580,5880,active,,,,,,"no payment dependency — safe to soft-delete"
5949,606,5882,active,,,,,,"no payment dependency — safe to soft-delete"
5950,606,5883,active,,,,,,"no payment dependency — safe to soft-delete"
5951,583,5884,active,,,,,,"no payment dependency — safe to soft-delete"
5952,579,5885,active,,,,,,"no payment dependency — safe to soft-delete"
5956,583,5889,active,,,,,,"no payment dependency — safe to soft-delete"
5957,579,5890,active,,,,,,"no payment dependency — safe to soft-delete"
5958,580,5891,active,,,,,,"no payment dependency — safe to soft-delete"
5959,579,5892,active,,,,,,"no payment dependency — safe to soft-delete"
5960,585,5893,active,,,,,,"no payment dependency — safe to soft-delete"
5961,580,5894,active,,,,,,"no payment dependency — safe to soft-delete"
5962,580,5895,active,,,,,,"no payment dependency — safe to soft-delete"
