id,category_event_id,registration_id,user_id,status,payment_status_id,created_at
17644,1954,19433,584,active,0,
17652,1971,19441,3025,active,0,
17661,1956,19450,1870,active,0,
17663,2042,19452,584,active,0,
17664,2042,19453,584,active,0,
17665,2042,19454,584,active,0,
17666,1908,19455,584,active,0,
17667,1908,19456,584,active,0,
17668,1908,19457,584,active,0,
17669,1908,19458,584,active,0,
17670,1908,19459,584,active,0,
17671,2042,19460,584,active,0,
17672,2042,19461,584,active,0,
17673,2042,19462,584,active,0,
17675,2044,19464,584,active,0,
17676,2043,19465,584,active,0,
17684,2099,19473,1395,active,0,
17685,2099,19474,1395,active,0,
17693,1959,19482,3562,active,0,
17701,1956,19490,1812,active,0,
17702,2098,19491,1850,active,0,
17703,1973,19492,4088,active,0,
17716,1970,19505,4267,active,0,
17724,1966,19513,4185,active,0,
17732,1969,19521,2640,active,0,
17738,1968,19527,4268,active,0,
17741,1978,19530,1380,active,0,
17746,1965,19535,2204,active,0,
17747,1972,19536,2204,active,0,
17765,1967,19554,3249,active,0,
17766,1955,19555,3249,active,0,
17803,1969,19592,3025,active,0,
17804,1977,19593,3025,active,0,
17818,2092,19607,2612,active,0,
17823,2093,19612,2147,active,0,
17856,2091,19635,725,active,0,
17857,2089,19636,3009,active,0,
17862,2088,19641,3670,active,0,
17866,2091,19645,725,active,0,
17871,2068,19650,3114,active,0,
17872,2068,19651,3114,active,0,
17873,2061,19652,3114,active,0,
17877,2088,19656,3597,active,0,
17878,2088,19657,3597,active,0,
17882,1910,19661,1477,active,0,
17883,1915,19662,1477,active,0,
17890,2086,19669,4275,active,0,
17891,2086,19670,4275,active,0,
17894,2068,19673,3114,active,0,
17895,2068,19674,3114,active,0,
17896,2061,19675,3114,active,0,
17901,2093,19680,584,active,0,
17902,2093,19681,584,active,0,
17903,2093,19682,584,active,0,
17904,2093,19683,584,active,0,
17905,2093,19684,584,active,0,
17906,2093,19685,584,active,0,
17907,2093,19686,584,active,0,
17911,2092,19690,584,active,0,
17915,2091,19694,638,active,0,
17920,1910,19699,1477,active,0,
17921,1915,19700,1477,active,0,
17923,2088,19702,943,active,0,
17931,2093,19714,2974,active,0,
17935,2093,19718,2974,active,0,
17937,2093,19720,2974,active,0,
17943,2091,19726,3687,active,0,
17953,2045,19736,584,active,0,
17954,2045,19737,584,active,0,
17955,2045,19738,584,active,0,
17960,2088,19743,943,active,0,
17965,2093,19748,2572,active,0,
17966,2089,19749,2572,active,0,
17974,2065,19757,2824,active,0,
17980,1908,19763,2249,active,0,
17981,1910,19764,1477,active,0,
17982,1915,19765,1477,active,0,
17989,1908,19772,3495,active,0,
18002,1910,19785,1418,active,0,
18003,2043,19786,1418,active,0,
18008,1915,19791,1477,active,0,
18009,1910,19792,1477,active,0,
18010,2042,19793,1542,active,0,
18011,1912,19794,1542,active,0,
18012,1908,19795,1542,active,0,
18035,2060,19818,4126,active,0,
18036,2044,19819,1075,active,0,
18043,1907,19826,4178,active,0,
18049,1910,19832,2638,active,0,
18051,1910,19834,2638,active,0,
18054,1915,19837,2482,active,0,
18062,1910,19845,2638,active,0,
18063,1908,19846,2249,active,0,
18066,1915,19849,757,active,0,
18067,1909,19850,757,active,0,
18068,1906,19851,757,active,0,
18069,1915,19852,757,active,0,
18070,1909,19853,757,active,0,
18071,1906,19854,757,active,0,
18072,1915,19855,584,active,0,
18073,1915,19856,1622,active,0,
18082,1906,19865,2218,active,0,
18086,1915,19869,1100,active,0,
18087,1915,19870,1100,active,0,
18088,1915,19871,1100,active,0,
18089,1915,19872,1100,active,0,
18094,1913,19877,4282,active,0,
18118,2060,19901,4185,active,0,
18120,2060,19903,4185,active,0,
18129,2106,19912,584,active,0,
18134,2066,19917,3115,active,0,
18135,2069,19918,3115,active,0,
18138,2061,19921,2648,active,0,
18140,2061,19923,2648,active,0,
18141,2066,19924,2648,active,0,
18143,2067,19926,4108,active,0,
18144,2064,19927,3211,active,0,
18145,2064,19928,2098,active,0,
18146,2069,19929,584,active,0,
