id,category_event_id,registration_id,user_id,status,payment_status_id,created_at
23,1,1,,active,,
24,1,2,,active,,
25,1,3,,active,,
26,1,4,,active,,
27,1,5,,active,,
28,1,6,,active,,
29,1,7,,active,,
30,1,8,,active,,
31,2,9,,active,,
32,2,10,,active,,
33,2,11,,active,,
34,2,12,,active,,
35,2,13,,active,,
36,2,14,,active,,
37,2,15,,active,,
38,2,16,,active,,
39,2,17,,active,,
40,2,18,,active,,
41,3,19,,active,,
42,3,20,,active,,
43,3,21,,active,,
44,3,22,,active,,
45,3,23,,active,,
46,3,24,,active,,
47,3,25,,active,,
48,3,26,,active,,
49,3,27,,active,,
50,3,28,,active,,
51,3,29,,active,,
52,3,30,,active,,
53,5,31,,active,,
54,4,32,,active,,
55,4,33,,active,,
56,4,34,,active,,
57,4,35,,active,,
58,5,36,,active,,
59,5,37,,active,,
60,5,38,,active,,
61,5,39,,active,,
62,5,40,,active,,
63,5,41,,active,,
64,5,42,,active,,
65,5,43,,active,,
66,5,44,,active,,
67,5,45,,active,,
68,5,46,,active,,
69,5,47,,active,,
70,5,48,,active,,
71,6,49,,active,,
72,6,50,,active,,
73,6,51,,active,,
74,6,52,,active,,
75,6,53,,active,,
76,5,54,,active,,
77,6,55,,active,,
78,5,56,,active,,
79,7,57,,active,,
80,7,58,,active,,
81,7,59,,active,,
82,7,60,,active,,
83,7,61,,active,,
84,7,62,,active,,
85,7,63,,active,,
86,8,64,,active,,
87,8,65,,active,,
88,9,66,,active,,
89,13,67,,active,,
90,13,68,,active,,
91,13,69,,active,,
92,13,70,,active,,
93,13,71,,active,,
94,13,72,,active,,
95,13,73,,active,,
96,13,74,,active,,
97,13,75,,active,,
98,13,76,,active,,
99,14,77,,active,,
100,14,78,,active,,
101,14,79,,active,,
102,14,80,,active,,
103,14,81,,active,,
104,14,82,,active,,
105,14,83,,active,,
106,14,84,,active,,
107,14,85,,active,,
108,14,86,,active,,
109,14,87,,active,,
110,14,88,,active,,
111,14,89,,active,,
112,14,90,,active,,
113,14,91,,active,,
114,14,92,,active,,
115,14,93,,active,,
116,14,94,,active,,
117,14,95,,active,,
118,14,96,,active,,
119,14,97,,active,,
120,15,98,,active,,
121,15,99,,active,,
122,15,100,,active,,
123,15,101,,active,,
124,15,102,,active,,
125,15,103,,active,,
126,15,104,,active,,
127,15,105,,active,,
128,15,106,,active,,
129,15,107,,active,,
130,15,108,,active,,
131,16,109,,active,,
132,16,110,,active,,
133,17,111,,active,,
134,17,112,,active,,
135,17,113,,active,,
136,17,114,,active,,
137,17,115,,active,,
138,17,116,,active,,
140,17,118,,active,,
141,17,119,,active,,
142,17,120,,active,,
143,17,121,,active,,
144,17,122,,active,,
145,17,123,,active,,
146,17,124,,active,,
147,17,125,,active,,
148,17,126,,active,,
149,17,127,,active,,
150,17,128,,active,,
151,17,129,,active,,
152,17,130,,active,,
153,17,131,,active,,
154,18,132,,active,,
155,18,133,,active,,
156,18,134,,active,,
157,18,135,,active,,
158,18,136,,active,,
159,18,137,,active,,
160,18,138,,active,,
161,18,139,,active,,
162,19,140,,active,,
163,19,141,,active,,
164,19,142,,active,,
165,19,143,,active,,
166,19,144,,active,,
167,19,145,,active,,
168,19,146,,active,,
169,19,147,,active,,
170,19,148,,active,,
171,19,149,,active,,
172,19,150,,active,,
173,19,151,,active,,
174,19,152,,active,,
175,20,153,,active,,
176,20,154,,active,,
177,20,155,,active,,
178,20,156,,active,,
179,20,157,,active,,
180,21,158,,active,,
181,21,159,,active,,
182,21,160,,active,,
183,23,161,,active,,
184,23,162,,active,,
185,24,163,,active,,
186,24,164,,active,,
187,13,165,,active,,
188,13,166,,active,,
190,1,168,,active,,
208,26,196,,active,,
209,29,197,,active,,
210,31,198,,active,,
211,30,199,,active,,
212,37,200,,active,,
213,44,201,,active,,
214,47,202,,active,,
216,29,204,,active,,
217,28,205,,active,,
219,42,207,,active,,
220,25,208,,active,,
222,28,210,,active,,
223,28,211,,active,,
224,38,212,,active,,
225,40,213,,active,,
226,27,214,,active,,
227,31,215,,active,,
228,27,216,,active,,
229,28,217,,active,,
230,38,218,,active,,
231,37,219,,active,,
232,38,220,,active,,
233,38,221,,active,,
234,41,222,,active,,
235,41,223,,active,,
236,27,224,,active,,
237,31,225,,active,,
238,38,226,,active,,
239,38,227,,active,,
241,37,229,,active,,
242,45,230,,active,,
244,37,232,,active,,
246,39,234,,active,,
247,31,235,,active,,
248,27,236,,active,,
