id,category_event_id,registration_id,status,withdrawn_at,updated_at,resolved_deleted_at
17229,1888,18905,withdrawn,"2026-02-27 19:39:22","2026-02-27 19:39:22","2026-02-27 19:39:22"
17521,1956,19252,withdrawn,"2026-05-07 09:18:26","2026-05-07 09:18:26","2026-05-07 09:18:26"
17549,2094,19296,withdrawn,"2026-03-23 08:17:30","2026-03-23 08:17:30","2026-03-23 08:17:30"
17567,1973,19320,withdrawn,"2026-05-07 09:40:31","2026-05-07 09:40:31","2026-05-07 09:40:31"
17573,2099,19330,withdrawn,"2026-04-22 10:15:01","2026-05-07 13:26:56","2026-04-22 10:15:01"
17576,1956,19333,withdrawn,"2026-05-07 09:19:33","2026-05-07 09:19:33","2026-05-07 09:19:33"
17577,1957,19334,withdrawn,"2026-05-07 09:20:45","2026-05-07 09:20:45","2026-05-07 09:20:45"
17584,1956,19348,withdrawn,"2026-05-07 09:19:12","2026-05-07 09:19:12","2026-05-07 09:19:12"
17612,2099,19417,withdrawn,"2026-04-22 09:57:45","2026-05-07 13:27:14","2026-04-22 09:57:45"
17662,1954,19451,withdrawn,"2026-04-19 00:48:14","2026-04-19 00:48:17","2026-04-19 00:48:14"
17687,2099,19476,withdrawn,"2026-04-22 09:44:37","2026-05-07 13:27:28","2026-04-22 09:44:37"
17690,1963,19479,withdrawn,"2026-05-07 08:08:52","2026-05-07 08:08:52","2026-05-07 08:08:52"
17720,1973,19509,withdrawn,"2026-05-01 07:30:44","2026-05-01 07:30:44","2026-05-01 07:30:44"
17728,1960,19517,withdrawn,"2026-04-24 16:05:03","2026-04-24 16:05:03","2026-04-24 16:05:03"
17753,1965,19542,withdrawn,"2026-04-29 12:02:54","2026-04-29 12:02:54","2026-04-29 12:02:54"
17760,1972,19549,withdrawn,"2026-05-07 09:15:31","2026-05-07 09:15:31","2026-05-07 09:15:31"
17785,1966,19574,withdrawn,"2026-04-28 18:40:44","2026-04-28 18:40:44","2026-04-28 18:40:44"
17797,1957,19586,withdrawn,"2026-05-07 09:21:15","2026-05-07 09:21:15","2026-05-07 09:21:15"
17826,1904,18662,withdrawn,"2026-04-30 18:00:18","2026-05-06 21:22:33","2026-04-30 18:00:18"
17833,1897,18858,withdrawn,"2026-04-30 18:02:19","2026-05-06 21:22:33","2026-04-30 18:02:19"
17834,2052,18915,withdrawn,"2026-04-30 18:03:16","2026-05-06 21:22:33","2026-04-30 18:03:16"
17835,1935,18918,withdrawn,"2026-04-30 18:04:36","2026-05-06 21:22:33","2026-04-30 18:04:36"
17843,2087,19622,withdrawn,"2026-05-06 10:49:14","2026-05-06 10:49:14","2026-05-06 10:49:14"
17850,1971,19629,withdrawn,"2026-05-07 01:39:47","2026-05-07 01:39:47","2026-05-07 01:39:47"
17853,1960,19632,withdrawn,"2026-05-06 21:04:02","2026-05-07 22:28:11","2026-05-06 21:04:02"
17899,1971,19678,withdrawn,"2026-05-07 01:40:11","2026-05-07 01:40:11","2026-05-07 01:40:11"
17900,1956,19679,withdrawn,"2026-05-07 01:40:28","2026-05-07 01:40:28","2026-05-07 01:40:28"
17938,2089,19721,withdrawn,"2026-05-09 17:09:19","2026-05-09 17:09:19","2026-05-09 17:09:19"
17939,2093,19722,withdrawn,"2026-05-09 17:29:16","2026-05-09 17:29:16","2026-05-09 17:29:16"
17941,2091,19724,withdrawn,"2026-05-13 14:41:47","2026-05-13 14:41:47","2026-05-13 14:41:47"
17956,2045,19739,withdrawn,"2026-05-09 19:30:55","2026-05-09 19:31:04","2026-05-09 19:30:55"
17967,2093,19750,withdrawn,"2026-05-18 20:18:30","2026-05-18 20:18:30","2026-05-18 20:18:30"
17968,2089,19751,withdrawn,"2026-05-18 20:18:42","2026-05-18 20:18:42","2026-05-18 20:18:42"
18108,2069,19891,withdrawn,"2026-05-19 18:55:29","2026-05-19 18:55:29","2026-05-19 18:55:29"
